"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:39,2019-04-25,17:40,4296,73.919303,0.082977,0.007816,13.952540,0.014392,0.001869,0.532035,347.371461,61306210,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:39,2019-04-25,17:40,4278,78.345600,0.060753,0.008133,17.914006,0.018280,0.002515,0.941460,1836.700247,8261055,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:39,2019-04-25,17:40,5162,49.743681,0.117799,0.005529,21.627210,0.006418,0.002980,5.807901,2352.828806,2147392,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:39,2019-04-25,17:40,2867,31.558583,0.106251,0.005418,11.847848,0.006546,0.002913,0.498328,207.868943,1192672,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:39,2019-04-25,17:40,7128,380.480713,4.939587,0.011721,26.143232,2.055279,0.002553,0.571391,1758.555640,14926920,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:40,2019-04-25,17:41,4188,81.515831,0.084918,0.008074,13.864238,0.012519,0.001789,0.495683,336.420345,61015294,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:40,2019-04-25,17:41,4352,87.259925,0.067539,0.008362,18.172238,0.016149,0.002467,0.930958,1837.274578,8400420,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:40,2019-04-25,17:41,2851,32.249327,0.150080,0.005423,11.808060,0.009008,0.002904,0.489661,201.470117,1186016,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:40,2019-04-25,17:41,6961,372.902600,0.195029,0.012424,23.546227,0.005736,0.002551,0.561546,1736.200155,14577399,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:40,2019-04-25,17:41,5350,53.121140,0.108925,0.005536,22.498014,0.009544,0.003058,5.704642,2353.445482,2225600,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:41,2019-04-25,17:42,4160,87.774873,0.149267,0.007842,13.843982,0.013150,0.001772,0.501130,331.827460,61654266,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:41,2019-04-25,17:42,4317,80.405546,0.059589,0.008388,17.926627,0.014423,0.002461,1.072687,1853.984385,8333983,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:41,2019-04-25,17:42,5370,52.146171,0.116394,0.005545,22.510388,0.007860,0.003003,5.739935,2331.036612,2233920,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:41,2019-04-25,17:42,2954,33.800837,0.144661,0.005451,12.244489,0.006735,0.002914,0.503816,206.140455,1228864,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:41,2019-04-25,17:42,7437,396.305983,5.019907,0.010615,27.159755,2.124216,0.002644,0.596253,1732.897228,15574073,2095,1891
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:42,2019-04-25,17:43,4237,90.327003,0.181972,0.008036,14.114227,0.011995,0.001802,0.480889,329.138432,61232100,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:42,2019-04-25,17:43,4387,80.471489,0.061192,0.008982,18.263506,0.014868,0.002430,1.066456,1820.852957,8471741,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:42,2019-04-25,17:43,5426,51.789321,0.142363,0.005575,22.669000,0.007653,0.002982,5.893929,2354.596037,2257216,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:42,2019-04-25,17:43,2928,31.541808,0.107964,0.005515,12.067221,0.006273,0.002944,0.497693,205.617660,1218048,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:42,2019-04-25,17:43,7263,378.378945,4.928234,0.013393,26.550782,2.079488,0.002662,0.576967,1783.308936,15209477,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:43,2019-04-25,17:44,4240,91.258438,0.137872,0.008004,14.133766,0.012161,0.001844,0.485068,328.117453,61441216,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:43,2019-04-25,17:44,4178,79.881741,0.067548,0.008145,17.560831,0.014998,0.002477,1.072364,1851.039005,8075558,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:43,2019-04-25,17:44,2787,31.716630,0.121497,0.005521,11.527846,0.006568,0.002976,0.488583,203.600748,1159392,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:43,2019-04-25,17:44,7012,380.256509,5.041347,0.011542,25.678592,2.048899,0.002564,0.562261,1730.306824,14684174,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:43,2019-04-25,17:44,5341,52.711845,0.112861,0.005564,22.398217,0.008799,0.002985,5.786389,2355.563620,2221856,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:44,2019-04-25,17:45,4260,85.459836,0.213502,0.007510,14.205853,0.011596,0.001810,0.497613,336.159932,63362506,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:44,2019-04-25,17:45,4376,80.557051,0.079248,0.008133,18.271511,0.014826,0.002529,1.048161,1841.265872,8452703,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:44,2019-04-25,17:45,5345,50.309100,0.105588,0.005532,22.365575,0.006821,0.003047,5.748716,2330.805453,2223520,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:44,2019-04-25,17:45,2926,31.259821,0.100506,0.005510,12.001437,0.006939,0.002877,0.492282,205.906156,1217216,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:44,2019-04-25,17:45,7167,380.636618,4.997774,0.009371,26.181160,2.102180,0.002609,0.568516,1761.306545,15008331,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:45,2019-04-25,17:46,4133,93.393046,0.208302,0.007398,14.010727,0.013849,0.001852,0.477311,324.346213,62504448,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:45,2019-04-25,17:46,4375,79.840849,0.072400,0.008628,18.225262,0.014582,0.002491,1.032594,1824.656640,8442316,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:45,2019-04-25,17:46,5584,50.998665,0.096715,0.005503,23.386178,0.007051,0.003051,5.853760,2355.106600,2322944,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:45,2019-04-25,17:46,3161,31.855816,0.089169,0.005419,12.996326,0.006725,0.003030,0.516296,205.721733,1314976,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:45,2019-04-25,17:46,7322,419.619339,0.394298,0.012917,24.649499,0.005944,0.002563,0.578745,1733.891568,15333292,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:46,2019-04-25,17:47,4222,90.541132,0.196314,0.008484,13.999612,0.012498,0.001789,0.490582,330.413772,59525248,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:46,2019-04-25,17:47,4283,83.573925,0.202879,0.008419,17.941374,0.015770,0.002537,1.064800,1863.399930,8281055,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:46,2019-04-25,17:47,5437,52.682058,0.135747,0.005535,22.905185,0.006769,0.003062,5.663269,2344.247557,2261792,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:46,2019-04-25,17:47,3011,30.499580,0.104387,0.005470,12.413993,0.006654,0.002836,0.515302,208.326958,1252576,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:46,2019-04-25,17:47,7470,432.470336,6.132699,0.012567,26.919926,2.102307,0.002525,0.592933,1723.597977,15643108,2095,1889
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:47,2019-04-25,17:48,4105,94.897654,0.343125,0.007575,13.741625,0.015255,0.001889,0.456432,321.763902,60064342,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:47,2019-04-25,17:48,4499,83.659232,0.205424,0.008708,18.667069,0.013611,0.002435,1.023973,1818.457192,8671504,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:47,2019-04-25,17:48,2916,29.763578,0.122966,0.005439,12.098875,0.006589,0.003079,0.497366,203.920338,1213056,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:47,2019-04-25,17:48,7050,394.784799,0.204103,0.012923,23.569536,0.005697,0.002530,0.559481,1717.564022,14763238,2095,2093
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:47,2019-04-25,17:48,5495,50.678692,0.136157,0.005509,23.146519,0.008566,0.003186,5.800788,2358.186035,2285920,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:48,2019-04-25,17:49,4186,89.229259,0.253121,0.007557,14.085538,0.016817,0.001861,0.496544,328.475243,60332220,100910,4412
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:48,2019-04-25,17:49,4300,82.324807,0.184326,0.008879,18.163156,0.013712,0.002490,1.069274,1846.431183,8304798,2073,1867
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:48,2019-04-25,17:49,2964,32.727325,0.103051,0.005486,12.318817,0.008987,0.002945,0.501267,206.883435,1233024,416,416
"MBMQH1","0002","7bbd0a24-ea7b-11e5-8afd-09bcd8f20000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:48,2019-04-25,17:49,7140,431.427365,0.194074,0.013589,23.949923,0.006554,0.002571,0.567158,1702.467716,14952302,2095,2093
